scenario,cum_rows,chunk_rows,chunk_ms,rows_per_sec,total_bytes,index_bytes
pg_serial,25000,25000,87,285680.8,3039232,1155072
pg_serial,50000,25000,82,302532.7,6004736,2260992
pg_uuidv4_app,25000,25000,110,227167.9,3219456,1130496
pg_uuidv4_app,50000,25000,102,242758.4,6389760,2236416
pg_uuidv7_app,25000,25000,97,256380.9,2891776,802816
pg_uuidv7_app,50000,25000,88,282218.5,5742592,1589248
pg_uuidv7_db,25000,25000,108,229865.2,3129344,1040384
pg_uuidv7_db,50000,25000,113,219968.0,6217728,2064384
mysql_autoinc,25000,25000,203,122775.3,2113536,524288
mysql_autoinc,50000,25000,99,251139.4,5275648,1589248
mysql_uuidv4_app,25000,25000,211,118087.5,2637824,0
mysql_uuidv4_app,50000,25000,127,196455.5,5783552,0
mysql_uuidv7_app,25000,25000,211,118479.2,2637824,0
mysql_uuidv7_app,50000,25000,91,272226.3,3686400,0
